title,price,link,released
光之迷城 / Dawn of the Lost Castle,Rp 32 999,https://store.steampowered.com/app/1018170/__Dawn_of_the_Lost_Castle/?snr=1_7_7_151_150_3,"17 May, 2019"
Happy Empire,Rp 25 999,https://store.steampowered.com/app/513990/Happy_Empire/?snr=1_7_7_151_150_3,"19 Aug, 2016"
Find the Oil Racing Edition,Rp 39 999,https://store.steampowered.com/app/1039570/Find_the_Oil_Racing_Edition/?snr=1_7_7_151_150_3,"1 Apr, 2019"
Mainly at Rest,Rp 39 999,https://store.steampowered.com/app/1718430/Mainly_at_Rest/?snr=1_7_7_151_150_3,"26 Aug, 2021"
Survive The Island,Free To Play,https://store.steampowered.com/app/1828410/Survive_The_Island/?snr=1_7_7_151_150_3,"15 Dec, 2021"
SpaceCorn,Rp 9 299,https://store.steampowered.com/app/380580/SpaceCorn/?snr=1_7_7_151_150_3,"24 Jun, 2015"
SCHOOL SIMULATOR MULTIPLAYER,Rp 89 999,https://store.steampowered.com/app/702430/SCHOOL_SIMULATOR_MULTIPLAYER/?snr=1_7_7_151_150_3,"11 Sep, 2017"
Beach Cry of VR,Rp 16 700,https://store.steampowered.com/app/724940/Beach_Cry_of_VR/?snr=1_7_7_151_150_3,"21 Oct, 2017"
Muscle Car Robot,Rp 69 999Rp 6 999,https://store.steampowered.com/app/1058500/Muscle_Car_Robot/?snr=1_7_7_151_150_3,"2 May, 2019"
THE UNCLEARNESS,Rp 14 999,https://store.steampowered.com/app/1102720/THE_UNCLEARNESS/?snr=1_7_7_151_150_3,"11 Aug, 2019"
Totally Mayhem,Rp 25 999,https://store.steampowered.com/app/679740/Totally_Mayhem/?snr=1_7_7_151_150_3,"3 Aug, 2017"
Riskers,Rp 39 999,https://store.steampowered.com/app/581310/Riskers/?snr=1_7_7_151_150_3,"18 Oct, 2017"
Space Hero Line,Rp 209 999,https://store.steampowered.com/app/655120/Space_Hero_Line/?snr=1_7_7_151_150_3,"24 Aug, 2017"
Street Arena,Rp 59 999,https://store.steampowered.com/app/347820/Street_Arena/?snr=1_7_7_151_150_3,"10 Jul, 2015"
Eclipse --- Defending the motherland,Free To Play,https://store.steampowered.com/app/470130/Eclipse__Defending_the_motherland/?snr=1_7_7_151_150_3,"27 May, 2016"
Magic Siege - Defender,Rp 39 999,https://store.steampowered.com/app/749270/Magic_Siege__Defender/?snr=1_7_7_151_150_3,"30 Nov, 2017"
Ultimus bellum,Rp 69 999,https://store.steampowered.com/app/566430/Ultimus_bellum/?snr=1_7_7_151_150_3,"9 Nov, 2017"
Corleone Online,Free To Play,https://store.steampowered.com/app/1928790/Corleone_Online/?snr=1_7_7_151_150_3,"25 Jun, 2022"
Rap simulator,,https://store.steampowered.com/app/1099510/Rap_simulator/?snr=1_7_7_151_150_3,Coming soon
DEPRISION,,https://store.steampowered.com/app/1804730/DEPRISION/?snr=1_7_7_151_150_3,Coming soon - 2023 | Add To Wishlist. 👇​​
BLOCK WARRIORS: Definitive Edition,,https://store.steampowered.com/app/1860520/BLOCK_WARRIORS_Definitive_Edition/?snr=1_7_7_151_150_3,"19 Jan, 2023"
Survive The Forest,,https://store.steampowered.com/app/2150740/Survive_The_Forest/?snr=1_7_7_151_150_3,"2 Jan, 2023"
The Contact,Rp 25 999,https://store.steampowered.com/app/394010/The_Contact/?snr=1_7_7_151_150_3,"11 Apr, 2016"
Dangerous Chris,Rp 8 499,https://store.steampowered.com/app/1579490/Dangerous_Chris/?snr=1_7_7_151_150_3,"10 Apr, 2021"
CROOKS.io,,https://store.steampowered.com/app/2076380/CROOKSio/?snr=1_7_7_151_150_3,"2 Feb, 2023"
Survive The Forest Season Pass,,https://store.steampowered.com/app/2150750/Survive_The_Forest_Season_Pass/?snr=1_7_7_151_150_3,"1 Mar, 2023"
FAST DRIVE: Extreme Race,,https://store.steampowered.com/app/766060/FAST_DRIVE_Extreme_Race/?snr=1_7_7_151_150_3,"15 Mar, 2023"
Galaxy Citizen -Classic,Free To Play,https://store.steampowered.com/app/2010130/Galaxy_Citizen_Classic/?snr=1_7_7_151_150_3,Coming soon
Country Adventure,,https://store.steampowered.com/app/1610190/Country_Adventure/?snr=1_7_7_151_150_3,Coming soon
SURVIVE THE ISLAND SINGLE PLAYER AND ONLINE NEW MAP PASS DLC 2,,https://store.steampowered.com/app/1836810/SURVIVE_THE_ISLAND_SINGLE_PLAYER_AND_ONLINE_NEW_MAP_PASS_DLC_2/?snr=1_7_7_151_150_3,Coming soon
Fire In The Hole,,https://store.steampowered.com/app/762250/Fire_In_The_Hole/?snr=1_7_7_151_150_3,Coming soon
Galaxy Citizen- Premium Edition,,https://store.steampowered.com/app/1938610/Galaxy_Citizen_Premium_Edition/?snr=1_7_7_151_150_3,Coming soon
Galaxy Citizen - Beginning,Free,https://store.steampowered.com/app/2002100/Galaxy_Citizen__Beginning/?snr=1_7_7_151_150_3,Coming soon
Crash World,,https://store.steampowered.com/app/852890/Crash_World/?snr=1_7_7_151_150_4,Coming soon
Saga City,,https://store.steampowered.com/app/949740/Saga_City/?snr=1_7_7_151_150_4,Coming soon
Street Dreams,Rp 52 999,https://store.steampowered.com/app/1711910/Street_Dreams/?snr=1_7_7_151_150_4,"17 Sep, 2021"
Flight Unlimited Las Vegas,Rp 25 999,https://store.steampowered.com/app/383620/Flight_Unlimited_Las_Vegas/?snr=1_7_7_151_150_4,"9 Jul, 2015"
DRIFT 84,Rp 25 999,https://store.steampowered.com/app/381800/DRIFT_84/?snr=1_7_7_151_150_4,"14 Jul, 2015"
Kartofank VR,Rp 18 999,https://store.steampowered.com/app/668510/Kartofank_VR/?snr=1_7_7_151_150_4,"12 Oct, 2017"
Gangsta Sniper 3: Final Parody,Rp 24 999,https://store.steampowered.com/app/1173260/Gangsta_Sniper_3_Final_Parody/?snr=1_7_7_151_150_4,"12 Nov, 2019"
Broken Spell 2,Rp 69 999,https://store.steampowered.com/app/1197440/Broken_Spell_2/?snr=1_7_7_151_150_4,"12 Feb, 2020"
STRTK1NG-Beta v1.3.0,Rp 169 999,https://store.steampowered.com/app/1224250/STRTK1NGBeta_v130/?snr=1_7_7_151_150_4,"27 Jul, 2020"
Rustler Demo,Free Demo,https://store.steampowered.com/app/844260/Rustler_Grand_Theft_Horse/?snr=1_7_7_151_150_4,"17 Jun, 2020"
Tales of the Underworld - Legends of Primordial Sea,Rp 95 999,https://store.steampowered.com/app/1840570/Tales_of_the_Underworld__Legends_of_Primordial_Sea/?snr=1_7_7_151_150_4,"3 Jan, 2022"
R.C. Bot Inc.,Rp 45 999,https://store.steampowered.com/app/459630/RC_Bot_Inc/?snr=1_7_7_151_150_4,"30 Jul, 2016"
Legends of Primordial Sea Demo,Free Demo,https://store.steampowered.com/app/1840570/Tales_of_the_Underworld__Legends_of_Primordial_Sea/?snr=1_7_7_151_150_4,"31 Dec, 2021"
Gene Shift Auto: Deluxe Edition,Rp 130 999Rp 104 799,https://store.steampowered.com/app/2194030/Gene_Shift_Auto_Deluxe_Edition/?snr=1_7_7_151_150_4,"28 Nov, 2022"
CS Horizon,Rp 8 499,https://store.steampowered.com/app/1692900/CS_Horizon/?snr=1_7_7_151_150_4,"28 Jul, 2021"
Forbidden Pleasure,Rp 82 999,https://store.steampowered.com/app/1287830/Forbidden_Pleasure/?snr=1_7_7_151_150_4,"10 May, 2020"
MadOut Open City,Rp 69 999,https://store.steampowered.com/app/428190/MadOut_Open_City/?snr=1_7_7_151_150_4,"29 Mar, 2016"
Call of Senpai: Waifu Warfare 2,Rp 17 499,https://store.steampowered.com/app/1893530/Call_of_Senpai_Waifu_Warfare_2/?snr=1_7_7_151_150_4,"24 May, 2022"
Call of Senpai: Waifu Warfare,Rp 8 499,https://store.steampowered.com/app/1786800/Call_of_Senpai_Waifu_Warfare/?snr=1_7_7_151_150_4,"29 Oct, 2021"
OCEAN CITY RACING,Rp 17 499,https://store.steampowered.com/app/311400/OCEAN_CITY_RACING/?snr=1_7_7_151_150_4,"14 Nov, 2014"
Zero-G VR,Rp 45 999,https://store.steampowered.com/app/491520/ZeroG_VR/?snr=1_7_7_151_150_4,"16 Jun, 2016"
Battle For The Sun,Rp 45 999,https://store.steampowered.com/app/385700/Battle_For_The_Sun/?snr=1_7_7_151_150_4,"22 Jul, 2015"
CATS!,Free to Play,https://store.steampowered.com/app/388840/CATS/?snr=1_7_7_151_150_4,"25 Jun, 2016"
The Purge Man,Rp 39 999,https://store.steampowered.com/app/1063930/The_Purge_Man/?snr=1_7_7_151_150_4,"12 Jan, 2021"
Asian Truck Simulator,Rp 47 499Rp 4 849,https://store.steampowered.com/app/2117080/Asian_Truck_Simulator/?snr=1_7_7_151_150_4,"9 Sep, 2022"
Police Radar,Rp 39 999,https://store.steampowered.com/app/2109610/Police_Radar/?snr=1_7_7_151_150_4,"2 Sep, 2022"
Amber Time Pocket,Rp 9 699,https://store.steampowered.com/app/2212200/Amber_Time_Pocket/?snr=1_7_7_151_150_4,"21 Nov, 2022"
Shift of War,Rp 74 699,https://store.steampowered.com/app/2123990/Shift_of_War/?snr=1_7_7_151_150_4,"1 Oct, 2022"
